name,experience_years,technical_score,label
Brandon Padilla,6.4,3,0
Steven Perkins,7.4,31,0
Amy Morris,2.2,94,0
Philip Mason,1.0,94,0
Angela Tanner,8.9,11,0
Theresa Tate,5.9,4,0
Carrie Chung,0.3,27,1
Jessica Phillips,2.3,77,0
Morgan Ibarra,0.3,25,1
Jeanne Logan,7.2,89,0
Carl Brown,5.4,28,0
Charles Schultz,4.5,35,0
Brittney Turner,8.1,0,0
Melissa Anderson,7.6,20,0
Scott Nguyen,7.0,43,0
Paula Brown DDS,2.8,27,0
Michael Moore,9.6,43,0
Norman Johnson,1.0,48,1
Heather Jones,1.0,44,1
John Monroe,6.0,5,0
Mr. Jeremy Clark,7.3,68,0
Troy Webb,1.2,48,1
Tina Williams,0.8,37,1
Carlos Mitchell,8.3,79,0
Patricia Mckinney,8.9,46,0
Amy Sharp,5.8,90,0
Jonathan Boyer,0.7,84,0
Debbie Wright,2.3,37,0
Kristine Fischer,9.9,29,0
Ronald Hall II,8.7,48,0
William Miller,2.8,81,0
Jennifer Brown,8.3,20,0
Lisa Torres,3.7,26,0
Kara Owens,6.7,89,0
Edwin Moreno,9.4,82,0
Dr. Wendy Hansen,0.7,81,0
Sarah Gonzales,1.7,93,0
Dr. Jack Knight,2.4,59,0
Amber Hayes,3.8,81,0
Carla Hunter,6.9,28,0
Gabrielle Nelson,6.8,98,0
Felicia Stafford,7.8,29,0
Scott Jones,8.2,40,0
Roger George,4.0,8,0
Brady Gross,2.1,72,0
Margaret Vasquez,8.8,40,0
Laurie Snyder,2.1,63,0
Jennifer Lopez,4.0,82,0
Jamie Perez,4.6,33,0
Jacob Valdez MD,1.4,95,0
Sandra Garrett,5.6,33,0
Michelle Clark,7.5,54,0
Roy Woods,9.0,51,0
Jeremy Mcclain,3.6,17,0
Miss Isabel Becker,5.1,11,0
Danny Cunningham,7.6,14,0
Tammy Chapman,1.5,20,1
Marc Pope,7.9,54,0
Nicholas Campbell,6.0,49,0
Amy Obrien,3.8,59,0
James Patterson,5.3,70,0
Mary Pruitt,8.6,1,0
Anthony Russell,6.8,14,0
Dillon Kelly,6.8,68,0
Victoria Miller,7.5,98,0
Kimberly Cole,6.4,14,0
Linda Humphrey,2.9,20,0
Beth Rodriguez,4.5,92,0
Omar Gordon,8.8,33,0
James Miranda,9.7,97,0
Sharon Kelly,1.8,13,1
Shannon Gibson,8.7,38,0
Adam Fuentes,8.4,64,0
Briana Davis,6.1,19,0
Christopher Caldwell,3.7,20,0
Angela Harris,5.4,99,0
Gina Oconnell,9.2,0,0
Alexis Castro,6.0,62,0
Kaitlyn Schmidt,0.2,46,1
Sherry Foster,8.8,39,0
Crystal Chavez,2.4,30,0
Vernon Best,8.8,10,0
Karen Jacobs,0.9,62,0
Heather Willis,8.2,97,0
Cassandra Mclaughlin,5.3,16,0
Jesse Scott,1.3,60,0
Felicia Rice,9.5,21,0
Leah Hartman,2.7,77,0
Ariana Long,4.2,27,0
Michelle Davenport,9.3,96,0
Amber Boone,7.3,25,0
David Parks,7.1,51,0
Jerry Sanders,10.0,83,0
Tracey Hudson,3.7,66,0
Stephen Robinson,4.5,31,0
Tonya Bailey,2.2,43,0
Laura Martin,0.2,70,0
Mike Walters,2.3,28,0
Robert Greer,0.1,90,0
Keith Rose,6.3,29,0
Julia Guerrero,0.7,4,1
Rhonda Guerrero,8.6,9,0
Matthew Carr,5.1,35,0
Elijah Hardy,6.7,27,0
Jennifer Hamilton,5.4,92,0
Sarah Tran,9.4,73,0
Donna Wright,5.8,31,0
Steven Griffith,7.8,52,0
Nancy Gardner,1.9,12,1
Sharon Kim,6.6,45,0
Taylor Coffey,4.2,59,0
Tracy Hart,8.6,6,0
William Townsend,6.7,82,0
Dr. Erin Douglas,1.0,51,1
Amanda Vincent,7.3,13,0
Kathy Frank,2.5,24,0
Robert Johnson,5.4,17,0
Jamie Price,4.2,35,0
Frank Fields,4.6,9,0
James Simmons,4.4,70,0
Stephen Powell DDS,1.0,83,0
Marcus Brown,10.0,1,0
Andrew Boyd,9.7,96,0
Marcus James,8.5,21,0
Tina Estrada,4.1,61,0
Luis Meyers,2.1,51,0
Timothy Gray,9.0,21,0
Sherri Patterson,3.8,49,0
Jenny Tran,2.7,100,0
Melissa Dominguez,7.9,36,0
Shane Kramer,4.2,93,0
Craig Guzman,10.0,71,0
Jacqueline Archer,6.6,62,0
Amy Russo,1.5,37,1
Joshua Todd,2.2,7,0
Angela Benjamin,5.8,69,0
Michael Butler,0.6,40,1
Alexis Evans,0.6,74,0
James Colon,4.8,67,0
Mr. Christopher Jensen,1.6,65,0
Travis Glenn,0.8,23,1
Bryan Bowman,0.7,8,1
Dylan Preston,6.8,30,0
John Cameron,4.0,72,0
Mark Mcmahon,2.5,76,0
Charles Leon,0.4,10,1
Connie Ross,4.2,74,0
Suzanne King,5.7,40,0
Megan Beasley,9.3,26,0
Brenda Acosta,6.7,40,0
Kaitlin Hardin,2.4,50,0
Ashley Alexander,1.3,82,0
Dawn Clark,3.0,40,0
Philip Mendoza,9.3,9,0
Kristopher Conley,0.1,79,0
Belinda Smith,10.0,12,0
Tyler Hernandez,0.7,27,1
Michael Cabrera,5.1,16,0
Jeremy Montgomery,9.3,8,0
Samantha Rojas,8.8,47,0
Amanda Johnson,2.8,56,0
Sarah Ross,8.3,90,0
Sandra Young,3.0,83,0
Timothy Obrien,5.3,85,0
Samantha Mcdonald,8.2,38,0
Scott Williams,9.3,13,0
Crystal Curtis,9.4,17,0
Carrie Olson,2.6,13,0
Rebecca Lewis,7.4,19,0
Danielle Diaz,2.7,77,0
Tony Meyer,2.1,43,0
Melinda Moore,2.0,81,0
Jorge Franklin,8.5,64,0
Douglas Graham,4.9,6,0
Joshua Miller,0.9,54,1
Isaiah Navarro,8.3,5,0
Colin Shaw,0.0,98,0
Joseph Lyons,1.3,33,1
Lindsey George,1.6,56,1
Robin Berger,5.5,54,0
Ronnie Johnson,5.6,14,0
Trevor Smith,0.8,88,0
John Miller,9.0,69,0
Carlos Delacruz,0.4,47,1
Joseph Wolfe,5.8,18,0
Kyle Lawrence,4.3,5,0
Kathryn Fuller,3.1,5,0
Glen Parker,9.0,26,0
Jeff Weaver,6.8,85,0
Karen Johnson,1.0,99,0
Bobby Hall,5.6,52,0
Scott Nguyen,9.7,95,0
William Stuart,1.5,30,1
Gabriel Young,8.6,22,0
Kim Turner,8.8,3,0
Joanne Flores,1.8,42,1
Andrew Brown,7.8,52,0
John Weber,8.0,94,0
Claudia Young,8.1,34,0
Dr. Michael Neal,1.6,89,0
Amanda Adkins,1.1,4,1
Janet Barrett,8.6,28,0
Brandon Martinez,2.0,58,0
James Smith,3.5,29,0
Calvin Simpson,2.2,84,0
Rebecca Johnson,1.9,42,1
Cody Coleman,2.8,8,0
Krista Conway,9.7,35,0
Lauren Strong,3.5,65,0
Philip Walker,4.0,68,0
Catherine Townsend,3.3,3,0
Jennifer Hill,1.2,33,1
Aaron Knight,1.8,33,1
Elizabeth Schwartz,0.4,76,0
Christopher Wagner,4.3,93,0
April Mckay,7.9,55,0
James Fuentes,6.1,65,0
Andre Mitchell,1.2,73,0
Susan Craig,1.9,5,1
Steven Smith,7.1,0,0
Debra Ross,5.2,68,0
Jason Mullins,6.9,94,0
Amy Friedman,7.4,25,0
Frances Larson,3.6,8,0
Yvonne Moore,9.5,42,0
Jennifer Wilkerson,6.2,84,0
Shirley Hale,8.5,92,0
Carol Herrera,9.0,64,0
Christina Johnson,3.1,52,0
Bethany Perez,3.3,89,0
Thomas Rodriguez,3.0,16,0
Joseph Valdez,1.9,85,0
Alexandra Reed,9.4,86,0
Marissa Walters DDS,7.5,22,0
Brian Li,6.2,38,0
Rebecca Gonzalez,4.1,0,0
Arthur Lyons,3.0,26,0
Ashley Salas,4.3,74,0
Scott Moyer,6.1,41,0
Mrs. Kaitlyn Contreras,4.6,56,0
Erika Dennis,6.8,65,0
Marissa Stone,4.7,94,0
Rachel Carter,1.7,10,1
Cynthia Owens,2.8,84,0
George Reeves II,6.3,42,0
Brent Smith,0.9,96,0
Jesus Gillespie,2.3,39,0
Christian Cook,2.2,25,0
James Schmitt,1.5,5,1
Carla Hill,2.4,60,0
Taylor Clark,6.1,98,0
Joshua Castro,0.7,53,1
Jared Bass,8.9,73,0
Sarah Sanders,1.9,89,0
Michael Phillips,3.8,51,0
Kyle Warren,2.4,83,0
Richard Watkins,6.9,96,0
Amber Hicks,8.6,13,0
Todd Myers,7.8,28,0
Noah Goodman,1.8,89,0
Amanda Smith,5.2,6,0
Jessica Howell,5.6,15,0
Donald Walters,4.6,59,0
Pamela Matthews,6.7,71,0
Phillip Mills,6.0,96,0
Patricia King,8.9,78,0
Erica Snow,8.2,64,0
Jaime Mckinney,4.3,70,0
Catherine Jackson,4.5,20,0
Evelyn Bridges,7.4,60,0
Christina Smith,4.5,96,0
Susan Cook,2.5,81,0
Bridget Love,2.8,99,0
Kathleen Murphy,5.2,80,0
Michelle Hernandez,2.4,56,0
Charles Reynolds,0.8,36,1
Kristy Warren,2.3,42,0
Mark Little,3.2,69,0
David Nunez,0.8,19,1
John Johnson,2.3,88,0
Michael Donovan,1.5,27,1
Heather Stein,0.6,52,1
Maria Davis,3.3,59,0
Alicia Reed,4.2,26,0
Vanessa Anderson,8.3,49,0
Alexander Byrd,9.0,74,0
Bryan Barrett,9.5,2,0
Christy Johnston,8.6,97,0
Alicia Hansen,5.8,61,0
Vernon Arroyo,0.1,45,1
Bryce Nelson,3.0,49,0
Elizabeth Lin,8.5,53,0
Lisa Castro,5.4,94,0
Thomas Morrison,5.5,77,0
Earl Morales,9.0,62,0
Brooke Watkins,2.2,55,0
Amanda Gallagher,4.9,49,0
Wesley Booker,3.4,86,0
Sheila Ritter,8.0,92,0
Peter Johnson,1.7,59,1
Michael Summers,9.2,79,0
Jesse Thomas,5.3,50,0
Erica Hernandez,5.9,84,0
Michael Cole,0.3,82,0
Rhonda Olson,4.3,59,0
Keith Church,1.8,33,1
Ashley Sparks,3.8,27,0
Barbara Stokes,4.5,43,0
Diane Anderson,7.6,48,0
Toni Morales,2.8,53,0
Charles Johnston,2.5,10,0
Abigail Oliver,4.7,95,0
Charles Richardson,5.4,44,0
Christopher Moyer,2.2,8,0
Dawn Livingston,7.8,83,0
Gary Scott,0.4,3,1
Janice Sanchez,9.5,25,0
John Zhang,8.4,79,0
Nancy Mann,1.5,16,1
Cole Foster,4.7,14,0
Jason Ferguson,5.6,27,0
Glenn Ruiz,4.7,32,0
Megan Blair,7.7,21,0
Eric Griffin,6.1,95,0
Mary Fox,7.2,99,0
Mrs. Crystal Valencia DVM,8.2,39,0
Julie Johnson,1.1,3,1
Lisa Andrade,9.3,73,0
Danielle Curtis,6.8,48,0
Jeanette Young,4.0,91,0
Haley Fowler,2.0,75,0
Francis Miller,6.9,80,0
Madison Hernandez,2.4,89,0
Jeffrey Garza,7.7,87,0
Erika Davis,6.0,15,0
Brandon Bennett,8.0,72,0
Philip Chung,7.8,44,0
Renee Bridges,5.3,84,0
Eric Ruiz,3.7,64,0
Monique Jones,6.5,1,0
Adrian Costa,8.5,62,0
Christopher Kelly,1.1,46,1
Krystal Jones,6.4,58,0
Michael Wright PhD,7.1,55,0
Anna Hendricks,1.8,66,0
Joseph Diaz,9.7,34,0
Jessica Johnson,6.2,68,0
Manuel Wilson,7.7,59,0
Janice James,4.4,93,0
Michael Vang,5.9,41,0
Lauren Hunter,8.5,11,0
David Wiggins,2.8,57,0
Kim Watson,2.4,59,0
Adrian Shaw,5.7,85,0
Megan Jones,3.8,3,0
Michael Hawkins,4.9,41,0
John Cook,1.8,27,1
Terry Reese,3.5,33,0
Brittany Howard,3.4,76,0
Thomas Gonzalez,7.0,35,0
Robert Booth,5.6,66,0
Angela Pearson,9.5,10,0
Catherine Brooks,2.4,52,0
Traci Brown,4.9,97,0
Kurt White,2.4,60,0
Shawn Newman,6.5,62,0
Melissa Ferguson,4.5,2,0
Brady Deleon,0.9,28,1
Jennifer Austin,4.0,31,0
Sara Johnson,3.1,74,0
Brittney Brock,3.7,70,0
Kimberly Osborne,5.3,54,0
Craig Peters,10.0,70,0
Christine Reid,3.3,89,0
Christopher Sanders,4.5,39,0
Michelle Burns,2.5,15,0
Monica Brooks,7.2,40,0
Sarah Acosta,1.2,68,0
Laura Hawkins,9.5,88,0
Nancy Flores,1.9,27,1
Ann Rodriguez,7.4,35,0
Andrew Curtis,7.2,97,0
Kelly Hayes,5.2,36,0
Nicholas Harris,9.8,24,0
Linda Garcia,3.0,46,0
Jennifer Smith,1.8,1,1
Stephanie Olson,7.1,16,0
David Peterson,2.7,6,0
Daniel Cunningham,5.5,89,0
James Harper,9.4,81,0
Tony Martin,8.7,62,0
David Meyer,1.0,1,1
Mr. Alan Bishop MD,5.7,60,0
Michelle Hernandez,4.8,43,0
Hayden Robinson,1.8,6,1
Amy Smith,2.5,61,0
David Livingston,1.1,8,1
Kyle Wilson,4.0,9,0
Kimberly Schultz,5.8,87,0
Rose Collins,0.5,19,1
Seth Medina,8.1,38,0
Sherry Lee,0.9,31,1
Nathan Buck,1.2,97,0
Daniel Grant,4.2,76,0
Jeremy Cameron,7.9,28,0
Michael Hunter,7.8,48,0
Jennifer Phillips,4.5,56,0
Kevin Thomas,3.0,75,0
Nicole Serrano,9.9,39,0
Anita Dudley,5.7,7,0
Joanna Lam,6.1,94,0
Michael Edwards,1.0,97,0
Jason Murphy,2.1,27,0
Mr. Sean Martin,2.6,10,0
Mark Gregory,1.6,22,1
William Carr,5.5,20,0
Carla Marquez,0.0,57,1
Samantha Browning,6.9,60,0
Jennifer Daugherty,2.9,29,0
Kim Moore,2.9,36,0
Summer Sims,7.0,58,0
James Williams,0.7,29,1
Jeffrey Wang,9.2,100,0
Tammy Hoffman,7.9,75,0
Zachary Nguyen,6.6,25,0
Mary Miller,4.3,69,0
Daniel Davis,2.2,19,0
Stephen Howard,9.1,18,0
Katie Greene,0.7,21,1
Kimberly Johnson,7.9,76,0
Cathy Bautista,7.5,72,0
Heather Anderson,9.2,56,0
Brian Young,1.2,88,0
Christopher Romero,3.0,51,0
Alisha Meyer,9.4,64,0
Gary Harris,5.4,56,0
Sandra Collier,0.8,5,1
Tammy James,8.9,94,0
David Anderson,3.2,32,0
Benjamin Thompson,0.3,29,1
Dana Murphy,9.6,73,0
Andre Lewis,5.9,2,0
Kara Brown,10.0,86,0
Victoria Carter,8.2,73,0
Richard Wallace,0.4,96,0
Dennis Henderson,1.8,66,0
Cynthia Brown,6.5,35,0
Sharon Johnson,1.8,74,0
Michelle Andrews,4.4,62,0
Lauren Berg,9.7,60,0
Tyler Foster,3.5,42,0
Jason Hurley,3.2,13,0
Carolyn Kennedy,8.6,42,0
Cynthia Jimenez,4.1,63,0
Robert Andrews,2.9,51,0
Aaron Moore,8.1,70,0
Monique Castillo MD,0.4,11,1
Alejandra Thomas,3.1,41,0
Donald Farrell,1.2,98,0
Jason Hooper,4.0,65,0
Heather Sanchez,8.2,0,0
Regina Obrien,6.6,69,0
Shelby Ford,4.6,6,0
Elizabeth Anderson,1.9,46,1
Kelly Villarreal,6.2,63,0
Lisa Rodriguez,6.3,97,0
Benjamin Mitchell,0.5,34,1
Madeline Walker,5.5,36,0
Cheryl Freeman,4.4,89,0
John Miller,4.8,3,0
Kevin Miller,9.7,77,0
Michael Horn,8.0,90,0
Brett Bullock,1.6,70,0
Miranda Wilson,0.1,52,1
Alyssa Perkins,0.9,14,1
Karen Medina,4.6,15,0
Mr. Mike Lawson,6.5,19,0
Barbara Dean,5.0,91,0
Maria Roberts,2.9,90,0
Brandon Dyer,2.7,61,0
Bruce Frazier,9.8,31,0
Thomas Roman,4.6,18,0
Regina Brady,3.8,76,0
Kayla Morris,5.1,17,0
Katie Gonzalez,8.6,35,0
Daniel Nguyen,7.7,53,0
Daniel Brooks,3.4,100,0
Philip Mcdonald,5.1,0,0
Alan Strickland,2.8,38,0
Brian Moore Jr.,8.4,74,0
Terry Martinez,10.0,62,0
Briana Hopkins,8.7,57,0
Kyle Brooks,5.4,44,0
Victor Conley,3.3,97,0
Mr. Donald Valencia,5.4,58,0
Brianna Johnston,9.3,24,0
Matthew Johnson,9.8,30,0
Adam Craig,5.7,29,0
Courtney Dominguez,8.6,52,0
Nancy Colon,0.4,95,0
Erika Rodgers,4.7,48,0
Tyler Dunn,3.9,84,0
Craig Rodriguez,7.9,83,0
Dr. Kaitlin Shaffer MD,9.8,63,0
Phyllis Harper,9.6,16,0
Stacey Smith,5.0,75,0
Ellen Wright,3.3,12,0
Gabrielle Perkins,8.7,56,0
Jessica Richardson,1.0,58,1
Samantha Fuller,0.2,18,1
Wayne Sanford,4.1,83,0
Albert Vaughn,9.7,9,0
Jeremy Bright,4.7,33,0
Sheryl Mcdonald,3.4,88,0
Devin Jacobson,4.0,10,0
John Rivers,8.5,86,0
Tony Kline,8.6,48,0
Brenda White,9.5,80,0
Melinda Shepherd,7.2,97,0
Julie Cox,4.9,69,0
Paul Velasquez,0.4,8,1
William White Jr.,2.3,87,0
Michelle Garcia,9.2,29,0
Connor Arias,7.5,55,0
Kristin Thomas,9.8,97,0
Allison Figueroa,6.3,12,0
Brian Parker,4.4,88,0
John Wood,3.0,3,0
Matthew Woods,0.5,7,1
Nancy Parker,2.9,47,0
Ashley Casey,4.3,31,0
Melissa Butler,5.3,72,0
Kimberly Palmer,6.8,23,0
Erik Mitchell,1.7,10,1
Walter Nelson,6.1,48,0
Megan Shepherd,6.2,30,0
Kathryn Nelson,5.0,74,0
Adam Ochoa,1.4,59,1
Amy Hernandez,6.4,58,0
Kimberly Jones,2.6,1,0
James Floyd,9.0,59,0
Jasmine Leonard,9.0,86,0
Tyler Bryant,5.5,9,0
John Mclean,4.4,44,0
Matthew Russell,9.9,38,0
Patricia Whitehead,6.4,54,0
Randy Davis,6.9,58,0
Elizabeth Edwards,8.5,25,0
Jane Robinson,10.0,61,0
Aaron Pham,1.1,48,1
Angela Cortez,5.7,73,0
Tyrone Taylor,3.0,89,0
Tanya Ortega,3.0,84,0
Dr. Christopher Johnson,4.0,1,0
Andrew Peters,5.7,87,0
James Jackson,7.8,6,0
Alexander Torres,9.1,95,0
Kimberly Williams,5.0,36,0
Mark Davis,7.8,29,0
Heidi King,6.1,45,0
Sarah Walker,2.2,24,0
Jason Santos,6.2,86,0
Veronica Goodwin,7.6,98,0
Andrea Williams,6.6,17,0
Mason Jackson,6.3,80,0
Michael Reynolds,6.5,39,0
Eric Patrick,7.9,4,0
William Trevino,5.8,93,0
John Lyons,1.3,37,1
Gloria Moses,3.3,53,0
Billy Jimenez,1.8,16,1
Christine Martin,7.9,46,0
Jessica Jackson,5.3,34,0
Diana Singh,8.3,32,0
Jeffery Lewis,9.1,61,0
Christian Gray,9.7,37,0
Jennifer Alvarez,7.5,43,0
Tamara Wilcox,8.0,59,0
Emily Schmidt,9.6,18,0
Brian Reed,7.5,28,0
Deborah Bruce,8.6,92,0
Dr. Jonathan Lopez,6.7,50,0
Marcus Johnson,9.7,71,0
Erika Reyes,3.7,50,0
Rebecca Lowe,0.1,68,0
Colleen Stewart,1.2,47,1
Larry Hernandez PhD,6.7,86,0
Dennis Barnes,2.6,48,0
Gary Ellis,8.2,47,0
Amy Franklin,1.1,29,1
Jeanne Collins,4.7,79,0
Nicole English,8.8,71,0
Rhonda Gill,3.3,78,0
Tony Lynn,2.2,8,0
Raymond Leach,6.4,59,0
Mark Harmon,9.1,38,0
Steven Ortiz,6.5,14,0
John Cook,1.4,4,1
James Velazquez,3.0,63,0
Edward Bright,1.2,30,1
Ellen Luna,8.9,17,0
James Acosta,3.9,47,0
Sara Harris MD,6.7,95,0
George Lindsey,7.0,69,0
Troy Mathews,4.2,95,0
Kevin Dunn,7.3,53,0
Ryan Johnson,6.5,62,0
Matthew Gray,6.2,35,0
Laura Campos,0.3,47,1
Grant Anderson,2.2,56,0
Daniel Russo,9.5,46,0
Patrick Everett,1.0,87,0
Christine Williams,3.7,82,0
Troy Watson,3.6,50,0
Jeffrey Lang,2.8,15,0
Allison Garner,9.5,58,0
Matthew Randall,0.9,27,1
Justin Snyder,6.4,76,0
Austin Barr,9.7,6,0
Melissa Curtis,7.9,31,0
Tom Wang,9.9,100,0
Kristin Decker,5.6,8,0
Chris Mayer,8.3,70,0
Marie Myers,2.1,27,0
Alisha Pena,8.1,29,0
Jordan Robertson,3.3,18,0
Julie Nguyen,7.9,76,0
Arthur Hernandez,0.0,18,1
David Chang,9.9,69,0
Kimberly Ford,2.5,22,0
Michael Moran,1.1,3,1
Julie Ferrell,1.3,45,1
Robert Lopez,7.9,30,0
Jacob Singh,5.9,2,0
Matthew Knox,1.7,6,1
Shirley Michael,1.3,53,1
Mark Thompson,5.3,95,0
Tammy Smith,0.6,57,1
Philip Gonzalez,7.8,65,0
Raymond Gonzalez,5.9,57,0
Jennifer Reynolds,5.0,78,0
Janet Butler,0.4,100,0
Brenda Hudson,9.1,84,0
Amber Scott,5.2,58,0
Samantha Reed,6.4,3,0
Richard Clay DDS,0.6,61,0
Thomas Barber,8.5,54,0
Valerie Thompson,6.9,62,0
Benjamin Davenport,7.1,56,0
Tracey Montoya,0.7,10,1
Gerald Moon,3.2,18,0
Megan Lewis,0.7,35,1
Annette Walker,6.2,74,0
Taylor Le,5.5,41,0
Samantha Hudson,3.8,76,0
Nicole Williams,5.3,58,0
Chelsea Cline,5.1,55,0
Nicholas Gray,1.0,89,0
Taylor Camacho,1.1,83,0
Stephanie Richard,6.5,98,0
Timothy Dean,5.5,27,0
Lindsey Howard,4.3,29,0
Joseph Pierce,4.1,58,0
Luis Mendoza,4.0,93,0
Michelle Drake,1.0,54,1
Heather Medina,3.1,32,0
Samantha Fisher,3.7,19,0
Michelle Cook,6.9,60,0
James Lee,0.7,10,1
Shane Cooper,0.9,12,1
Patricia Mitchell,7.4,47,0
Thomas Vazquez,8.1,71,0
